Order	SMPL_A12_3	SMPL_A13_3	SMPL_A14_3	SMPL_A15_3	SMPL_A16_3	SMPL_A17_2	SMPL_A18_2	SMPL_A19_2	SMPL_A20_4	SMPL_A21_2	SMPL_A22_2	SMPL_A23_1	SMPL_A24_4	SMPL_A25_2	SMPL_A33_1	SMPL_A36_1	SMPL_A3_2	SMPL_A41_1	SMPL_A42_4	SMPL_A44_1	SMPL_A47_4	SMPL_A48_1	SMPL_A52_3	SMPL_A53_4	SMPL_A54_4	SMPL_A56_3	SMPL_A57_4	SMPL_A58_4	SMPL_A59_4	SMPL_A5_1	SMPL_A7_3	SMPL_A9_2
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast	0	0	0	0	0	96	0	1	0	2	4	1	43	0	0	1	0	0	11	2	0	0	0	0	110	0	3	0	34	0	0	0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	15	0	0	0	1	0	0	3	2	1	1	0	0	1	1	1
Bacteria;Firmicutes;Bacilli;Bacillales	1	0	0	3	7	0	2	1	1	0	1053	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	1	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales	3	28	8	24	217	32	4	18	0	3	15	11	20	13	1	1	36	0	2	14	6	1	34	33	4	17	1	13	13	6	2	1
Bacteria;Firmicutes;Clostridia;Clostridiales	9143	6824	18134	9118	4297	23099	8648	15576	13182	10354	4022	11380	15658	16474	10048	10481	13718	29165	14439	11804	9249	17283	7407	11268	18533	9072	10765	11875	19250	12012	10248	8478
Bacteria;Firmicutes;Clostridia;DTU014	0	0	28	0	0	0	0	9	0	0	0	0	0	0	54	13	0	118	0	2	0	0	10	0	33	0	0	0	44	0	3	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales	433	1382	66	759	725	27	2	15	578	49	54	127	320	14	38	115	8	154	12	213	20	28	40	199	92	134	183	43	21	4	4	82
Bacteria;Firmicutes;Negativicutes;Selenomonadales	83	0	2	4	253	0	45	7	1146	9	175	184	181	23	1	7	45	4	68	2	41	9	131	99	6	6	1087	15	27	5	9	135
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales	0	0	0	2	6	2	4	1	0	0	15	0	25	0	2454	1	0	0	0	0	2	0	3	24	9	0	0	2	0	0	0	8
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales	0	0	67	0	0	1	0	260	0	0	0	0	0	0	232	113	0	0	4	0	0	1	45	0	204	25	0	12	387	0	31	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	5	2	10	1	32	3	15	7	2	1	3	0	43	18	1	1	2	3	0	2	3	2	0	14	1	0	0	12	1	17	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	0	4	1	0	0	256	0	1	1	36	0	2251	0	0	2896	273	3215	19	0	357	362	538	2	1123	67	2923	1	54	855	0	1854	564
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales	0	0	0	0	0	6	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales	8	250	127	1	1	0	0	89	116	217	149	247	1160	112	199	114	35	69	55	127	78	66	137	44	269	290	116	65	447	3	90	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales	6	5	69	594	13	0	3	50	2157	23	6	1083	994	0	888	28	29	47	4	506	19	1825	217	181	63	82	1303	28	76	134	32	1464
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales	522	2089	2556	6090	1413	56	49	343	1313	45	2156	2	203	21	0	77	1569	42	468	16	286	148	86	98	24	25	74	10	39	1	1164	486
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	0	0	0	2	1	0	43	0	0	0	351	45	2	0	0	0	0	1	1	0	1	0	6	2	0	4	1	0	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1419	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Bacteria;Tenericutes;Mollicutes;Izimaplasmatales	0	0	0	0	0	11	0	1581	0	0	0	0	0	0	323	44	107	4351	0	0	0	0	0	6	516	0	0	2	142	185	578	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39	0	0	0	0	0	0	0	45	0	0	0	0	0	0	6	46	33	161	42	29	0	5	0	0	12	0	0	4	0	10	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	532	0	4	0	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	0	4019	0	48	552	8	0	475	0	3	0	4	4837	1	206	98	1180	227	3	3827	38	24	2	3	500	6	0	1	242	178	812	1
