OTU	SMPL_A22	SMPL_A33	SMPL_A9	SMPL_A12	SMPL_A13	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A36	SMPL_A5	SMPL_A7	SMPL_A14	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A3
OTU_285	0	40	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
OTU_286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
OTU_287	0	7	0	0	1	0	0	0	0	7	0	0	0	23	0	0	0	0	0	0	5	0	2	0	3	4	0	2	0	6	0	0
OTU_288	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	26
OTU_289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
OTU_290	0	11	0	2	0	0	0	6	0	5	0	0	0	0	15	1	0	0	1	2	0	1	0	7	0	0	3	0	0	1	0	1
OTU_291	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	22	0
OTU_292	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	1	16	4	0	4	0	0	2	0	7	1	0	3	2	1
OTU_293	0	0	11	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	2	0	0	0
OTU_294	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_295	0	0	0	0	0	0	0	1	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_296	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_297	0	0	0	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	1	16	5	0	0	1	4	7	3	0	0	0	2	1
OTU_298	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	9	0	11	1	0	0	0	3	0	14	2
OTU_299	5	0	0	0	4	0	7	0	0	2	0	0	0	0	0	1	0	5	0	0	1	0	2	0	0	13	0	0	0	0	11	2
OTU_300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	1
OTU_301	0	0	8	1	2	4	1	0	0	1	2	0	2	4	0	1	5	0	1	2	2	0	0	6	0	1	0	3	1	0	3	2
OTU_302	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	36	0	7	0	0	0	0	0	0	0	0
OTU_303	0	0	0	0	0	0	0	0	0	1	0	1	2	3	0	0	1	0	0	0	1	0	2	0	29	3	1	0	0	4	2	0
OTU_304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	2	0
OTU_306	0	1	0	2	20	1	0	0	0	2	0	0	5	0	0	1	0	3	1	3	0	0	0	0	5	0	1	4	0	0	0	0
OTU_307	0	3	0	1	0	0	0	0	0	17	0	0	0	0	0	2	0	0	6	3	0	0	0	0	1	0	11	0	0	2	2	0
OTU_308	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	2	5	0	0	0	0	0	0	10	0	0	2	14	0
OTU_309	1	0	0	1	1	7	24	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	10	0	0	0	0	0	0
OTU_310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
OTU_311	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_312	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	17	0	0	0	5	5	0
OTU_313	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	28	6	0	0	0
OTU_314	0	3	19	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	8	0	0	4	2	0
OTU_315	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	19	0	0	0	0	0	0	10	0	0	0	0	0
OTU_316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_317	4	4	0	7	0	0	0	0	0	0	1	0	11	9	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_318	0	1	0	0	0	4	0	3	0	3	0	1	0	0	1	2	0	0	1	5	0	0	0	4	3	0	10	0	0	4	1	1
OTU_319	4	0	0	0	3	7	1	0	0	0	0	0	3	1	0	1	0	3	0	0	6	0	7	0	5	0	0	2	0	1	0	0
OTU_320	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_321	0	0	0	0	0	0	5	16	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21
OTU_322	0	0	0	0	0	1	2	2	0	10	0	0	0	2	0	1	3	0	3	0	0	3	0	0	0	0	1	14	0	0	0	1
OTU_323	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
OTU_324	0	33	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
OTU_325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	3	0	0	1	0	17	0	0	0	13
OTU_326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
OTU_327	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
OTU_328	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_329	0	4	0	0	0	0	0	0	0	3	1	1	0	0	0	2	0	4	0	2	0	4	0	0	1	0	17	0	0	3	0	0
OTU_330	0	0	0	0	0	0	0	0	3	1	3	1	1	2	1	8	0	0	1	2	5	1	0	1	1	0	0	4	0	2	2	3
OTU_331	15	0	8	0	0	0	6	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0
OTU_332	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	9	0	0	0	0	0	0	23	0	0	5	1	0
OTU_333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
OTU_334	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	13	0	0	0	0
OTU_335	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_336	0	0	0	0	0	39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_337	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
OTU_338	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_339	0	2	0	0	0	0	0	1	2	0	3	0	11	0	5	2	0	0	0	0	0	6	0	1	0	0	0	0	5	0	2	0
OTU_340	0	4	0	0	2	0	0	0	0	0	0	0	1	0	1	2	0	2	0	6	1	0	0	0	19	0	0	0	0	0	1	0
OTU_341	0	0	0	0	0	1	12	8	0	0	0	1	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
OTU_342	0	0	0	0	2	32	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_343	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
OTU_344	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	22	4	0	0	2	0	0	0	0	0
OTU_345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
OTU_346	0	0	13	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	1	1	0	0	0	0	0	0	0	15	0	0	0	1
OTU_347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0
OTU_348	0	4	0	0	0	0	0	0	0	16	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	7	0	0	2	0	0
OTU_349	0	1	0	0	1	33	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_350	0	0	1	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	0
OTU_351	0	1	0	8	0	0	0	0	0	4	4	0	0	0	2	2	0	0	4	1	0	3	0	0	0	0	4	0	0	0	3	0
OTU_352	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0
