Family	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	7065	1108	13184	3372	2647	12998	5161	10844	8248	7833	51	7750	8353	12609	5033	6092	8703	18032	9749	9039	3774	10104	3233	7177	8082	7992	6708	7076	11401	8124	2141	555
Bacteria;Firmicutes;Clostridia;DTU014;?	0	0	28	0	0	0	0	9	0	0	0	0	0	0	54	13	0	118	0	2	0	0	10	0	33	0	0	0	44	0	3	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	433	1382	66	759	725	27	2	15	578	49	54	127	320	14	38	115	8	154	12	213	20	28	40	199	92	134	183	43	21	4	4	82
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae	0	0	0	0	0	0	0	4	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae	83	0	2	4	253	0	45	3	0	9	175	184	181	23	1	7	45	4	68	2	41	9	131	99	6	6	1087	15	27	5	9	135
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	0	0	0	2	6	2	4	1	0	0	15	0	25	0	2454	1	0	0	0	0	2	0	3	24	9	0	0	2	0	0	0	8
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	0	0	67	0	0	1	0	260	0	0	0	0	0	0	179	0	0	0	4	0	0	1	45	0	193	13	0	12	219	0	10	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;vadinBE97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	113	0	0	0	0	0	0	0	0	11	12	0	0	168	0	21	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae	5	2	10	1	32	3	15	7	2	1	3	0	43	18	1	1	2	3	0	2	3	2	0	14	1	0	0	12	1	17	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;?	0	4	1	0	0	256	0	1	1	36	0	2251	0	0	2896	273	3215	19	0	357	362	538	2	1123	67	2923	1	54	855	0	1854	564
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria	0	0	0	0	0	6	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	8	250	127	1	1	0	0	89	116	217	149	247	1160	112	199	114	35	69	55	127	78	66	137	44	269	290	116	65	447	3	90	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	6	5	69	594	13	0	3	50	2157	23	6	1083	994	0	888	28	29	47	4	506	19	1825	217	181	63	82	1303	28	76	134	32	1464
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	522	2089	2556	6090	1413	56	49	343	1313	45	2156	2	203	21	0	77	1569	42	468	16	286	148	86	98	24	25	74	10	39	1	1164	486
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	0	0	0	2	1	0	43	0	0	0	351	45	2	0	0	0	0	1	1	0	1	0	6	2	0	4	1	0	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1419	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Bacteria;Tenericutes;Mollicutes;Izimaplasmatales;uncultured organism	0	0	0	0	0	11	0	1581	0	0	0	0	0	0	323	44	107	4351	0	0	0	0	0	6	516	0	0	2	142	185	578	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;?	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0	12	0	0	0	0	7	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;gut metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	19	133	0	29	0	0	0	0	0	0	0	4	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;human gut metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	10	42	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;uncultured rumen bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	532	0	4	0	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae	0	4019	0	48	552	8	0	475	0	3	0	4	4837	1	206	98	1180	227	3	3827	38	24	2	3	500	6	0	1	242	178	812	1
