Genus	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;?;?	0	1	0	0	0	171	5796	17	5	0	1	3080	1	0	409	1190	0	515	0	0	6	538	0	6	65	1	5	72	148	0	467	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;Clostridium sp. CAG:306;?	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;gut metagenome;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;uncultured rumen bacterium;?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	39	0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;?;?	0	0	0	0	0	96	0	1	0	2	4	1	43	0	0	1	0	0	11	2	0	0	0	0	110	0	3	0	34	0	0	0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	15	0	0	0	1	0	0	3	2	1	1	0	0	1	1	1
Bacteria;Firmicutes;Bacilli;Bacillales;Family XI;Gemella	0	0	0	0	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	1	0	0	3	3	0	1	1	0	0	1052	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	0	0	0	0	5	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	1	0	0	1	0	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	0	12	2	2	0	0	4	0	0	0	11	4	5	2	1	0	1	0	0	6	3	0	4	2	0	0	0	1	3	1	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	1	1	0	7	24	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0	2	0	14	180	28	0	7	0	1	1	3	6	10	0	0	34	0	0	4	1	0	0	15	2	3	0	6	1	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	0	13	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0	0	3	1	2	2	0	10	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	0	1	14	0	0	0	3	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	2	0	0	0	1	2	0	1	0	1	0	2	3	0	0	0	0	0	1	1	2	0	29	3	1	0	0	4	2	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;?;?	0	0	41	0	0	9	0	6	0	0	0	0	0	0	60	1	0	37	0	18	0	67	1	0	42	0	3	49	2	202	7	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;?	19	0	77	0	0	0	0	14	18	0	0	0	11	0	5	7	0	31	0	15	0	9	13	0	23	2	2	15	11	2	9	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group	136	37	1763	0	2	1582	45	2010	35	0	0	1	29	12	575	755	2475	300	117	53	13	1327	520	327	813	7	127	259	1451	263	2710	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1	0	9	10	2	13	1	67	4	0	0	261	0	15	187	51	5	19	0	1	0	44	738	62	41	7	3	17	0	13	7	15	384
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Sarcina	0	6	0	0	3	0	0	0	0	0	4	0	0	0	293	0	0	0	0	0	0	1	6	33	0	0	0	1	0	20	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;?	5	3	112	1	0	0	0	446	3	0	0	0	26	82	742	60	212	650	0	8	8	138	99	4	627	0	40	61	55	459	113	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured Thermoanaerobacterales bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	112	0	0	0	5	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured organism	0	0	0	0	0	0	0	17	0	0	0	0	0	0	681	3	0	3662	0	0	0	0	0	2	3	0	0	1	1	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured rumen bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitaleaceae UCG-011	4	0	19	0	0	0	0	11	22	0	0	0	68	0	2	4	0	36	8	0	0	0	1	2	9	0	2	8	8	0	14	0
